"id","basis","follow_up","protein","garrison","optional","day"
"5","1",NULL,"1",NULL,NULL,"7"
"6","2",NULL,NULL,NULL,NULL,"1"
"7","3","1","2","8",NULL,"2"
"8","3","1","2","1",NULL,"3"
"9","3","1","3","2",NULL,"4"
"10","3","1","4","3",NULL,"5"
"11","3","1","3","4",NULL,"6"
"12","3","1","2",NULL,NULL,"7"
"13","3","1","5",NULL,NULL,"1"
"14","3","1","4","5",NULL,"2"
"15","3","1",NULL,"6",NULL,"3"
"16","3","1","6","2",NULL,"4"
"17","3","1","7","7",NULL,"5"
"18","5",NULL,NULL,NULL,NULL,"6"
"19","3","1","9","8",NULL,"7"
"20","3","1",NULL,"9",NULL,"2"
"21","3","1","8","10",NULL,"3"
"22","3","1","10","11",NULL,"4"
"23","3","1","3","6",NULL,"6"
"24","3","1","11","12","1","7"
"25","3","1","12",NULL,NULL,"1"
"26","3","1","4","13",NULL,"2"
"27","3","1","13",NULL,NULL,"4"
"28","3","1","14","13","1","5"
"29","3","1","1","15",NULL,"6"
"30","3","1","9","13",NULL,"7"
"31","3","1",NULL,"16",NULL,"1"
"32","3","1","1","13",NULL,"2"
"33","3","1","3","8",NULL,"3"
"34","3","1","1","10",NULL,"4"
"35","3","1","15","15",NULL,"5"
"36","6",NULL,NULL,NULL,NULL,"6"
"37","6",NULL,NULL,NULL,NULL,"7"
"38","3","1","12",NULL,NULL,"1"
"39","3","1","10","10",NULL,"2"
"40","3","2",NULL,"10",NULL,"3"
"41","3","1",NULL,"10","1","4"
"42","3","1","14","7",NULL,"5"
"43","3","1","4","18",NULL,"6"
"44","1",NULL,"1",NULL,NULL,"7"
"45","2",NULL,NULL,NULL,NULL,"1"
"46","3","1","2","8",NULL,"2"
"47","3","1","2","1",NULL,"3"
"48","3","1","3","2",NULL,"4"
"49","3","1","4","3",NULL,"5"
"50","3","1","3","4",NULL,"6"
"51","3","1","9","8",NULL,"7"
"52","3","1",NULL,"9",NULL,"2"
"53","3","1","8","10",NULL,"3"
"54","3","1","10","11",NULL,"4"
"55","3","1","15","8",NULL,"5"
"56","3","1","3","6",NULL,"6"
"57","3","1","11","12",NULL,"7"
"58","3","1","12",NULL,NULL,"1"
"59","3","1","4","13",NULL,"2"
"60","3","1","11","14",NULL,"3"
"61","3","1","14",NULL,NULL,"4"
"62","3","1","13",NULL,NULL,"4"
"63","3","1","14","4",NULL,"5"
"64","3","1","1","15",NULL,"6"
"65","7",NULL,NULL,NULL,NULL,"7"
"66","3","1","9","4",NULL,"1"
"67","3","1","10","10",NULL,"2"
"68","3","1","4","19",NULL,"3"
"69","3","1",NULL,"10","1","4"
"70","7",NULL,NULL,NULL,NULL,"6"
"71","3","1","11","12",NULL,"7"
"72","3","1","4","13",NULL,"2"
"73","3","1","11","14",NULL,"3"
"74","3","1","14","10",NULL,"4"
"75","3","1","14","4",NULL,"5"
"76","3","1","1","15",NULL,"6"
"77","3","1","9","13",NULL,"7"
"78","3","1",NULL,"16",NULL,"1"
"79","3","1","1","13",NULL,"2"
"80","3","1","1","13",NULL,"2"
"81","3","1","3","12",NULL,"3"
"82","3","1","3","12",NULL,"3"
"83","3","1","1","10",NULL,"4"
"84","3","1","15","15",NULL,"5"
"85","6",NULL,NULL,NULL,NULL,"6"
"86","6",NULL,NULL,NULL,NULL,"7"
"87","3","1","12",NULL,NULL,"1"
"88","3","1","10","10",NULL,"2"
"89","3","2",NULL,"10",NULL,"3"
"90","3","1",NULL,"10","1","4"
"91","3","1","14","7",NULL,"5"
"92","3","1","4","18",NULL,"6"
"93","8",NULL,NULL,NULL,NULL,"7"
